bedrooms,total_sqft,bath,balcony,price
2,1296,2,3,80
3,1540,3,2,90
4,2894,4,1,245
3,1330,2,1,48
2,1200,2,1,65
3,1200,3,1,90
3,2502,3,3,138
2,650,1,1,17
3,2400,2,1,150
2,1007,2,2,43
2,1200,2,2,50
2,966,2,2,49.9
3,1630,2,1,98
3,1640,3,2,229
2,782,2,2,55.68
2,1260,2,2,66.78
3,1800,3,3,120
3,1413,2,2,75
2,1116,2,1,51.91
3,1530,2,1,45.9
4,3700,4,1,225
3,2497,3,2,140
3,1540,2,3,64
3,1436,3,1,74.75
2,1100,2,2,75
2,276,3,3,23
3,1427,3,2,120
3,2061,3,1,200
4,3067,4,0,477
4,2650,4,2,150
3,1282,2,2,68.52
2,1050,2,1,34
3,1600,3,2,65
2,945,2,1,54
2,1500,2,1,78
7,950,7,0,115
3,1870,3,3,110
3,1600,3,1,75
2,880,1,1,16.5
4,1200,4,0,210
3,1535,3,2,83
2,950,2,1,57
2,1360,2,1,65
2,1042,2,0,54.005
3,1280,3,1,50.4
3,1260,2,2,85.05
8,5000,8,,250
5,3050,5,1,213
3,1563.05,3,1,105
2,1000,2,1,60
2,1167,2,1,43.76
7,4000,7,2,225
3,1828,3,,110
2,890,2,1,35
3,1612,3,3,46.74
6,1034,5,,185
3,1710,4,2,91.31
2,957,2,1,58
3,1250,2,3,44
3,2795,4,,235
2,1125,2,2,50
2,1020,2,1,30.6
2,1200,2,2,50
3,1735,3,3,135
3,2050,3,1,145
4,3750,4,0,760
3,1350,2,3,48
2,1063,2,1,32
3,1904,3,1,150
4,4200,4,2,420
3,2000,3,1,175
2,1145,2,0,43.49
3,1425,2,2,75
3,1500,2,1,64.5
2,1060,2,1,60
3,1470,2,2,70
6,1300,6,0,99
1,450,1,1,11
2,1152,2,1,64.5
3,1350,2,1,56
3,1550,3,3,65
3,1500,3,2,100
5,600,3,2,85
1,400,1,0,14
1,705,1,2,67
2,770,1,1,36
2,1242,2,3,51
3,1700,3,2,155
3,2144,3,2,145
3,1704,3,2,110
2,1070,2,1,52
3,1846,3,2,300
2,1340,2,2,55.7
2,1025,2,1,46
2,1015,2,0,56.8
2,1200,2,2,52
4,2250,4,1,110
3,1550,2,3,80
4,1200,5,,325
7,1800,7,1,250
2,1200,2,2,60
2,1327,2,2,98
2,1186,2,2,58
3,1783,3,1,115
3,1400,3,2,56
2,980,2,1,48
2,1285,2,2,82
3,912,2,1,70
2,1225,2,2,47.6
2,1075,2,1,53
3,1260,2,2,54
3,1282,2,2,48.7
3,1909,3,2,88
2,1359,2,1,87
2,1207,2,2,43.5
4,1736,6,0,190
4,2850,4,1,428
3,1595,3,2,65
3,1798,3,2,89
3,1475,3,2,78.29
3,1580,3,3,100
2,1295,2,1,65
6,3600,6,0,141
1,589,1,1,27
3,1415,3,3,78
3,1787,3,2,98.29
3,1787,3,2,125
3,1475,2,3,90
4,2000,4,1,75.5
2,984,2,1,44.28
3,1520,,,74.82
3,2405,4,2,260
2,1080,2,2,72
2,1500,2,1,115
3,1900,3,2,119
2,805,2,1,22.14
2,1153,2,2,56.4
2,1148,2,2,60
2,1110,2,2,55
2,1100,2,2,42
2,1290,2,2,110
3,1500,2,1,65
2,1080,2,2,39
3,1933,3,1,129
5,3500,5,2,150
2,1060,2,2,60
1,645,1,1,16.45
8,2600,8,2,180
1,645,1,1,16.45
3,1644,3,3,84
2,1285,2,3,72.5
3,1200,3,1,90
2,910,2,1,40
3,1577,3,1,70
3,4050,3,2,280
3,2420,3,2,185
2,800,1,1,20
2,1060,2,2,55
2,1270,2,2,93
2,900,2,2,22.5
2,1280,2,1,69
4,1200,2,0,95
2,1025,2,2,36
2,1108,2,1,63
5,1200,5,,170
3,3045,3,2,170
4,2900,3,2,300
3,1500,3,2,75.5
2,1295,2,2,43.9
2,1162,2,1,59.9
2,1035,2,2,49.2
4,1600,4,0,52.8
3,1464,3,2,46
3,1866,2,2,61.58
2,700,1,1,26
3,1804,3,2,120
2,913,2,1,32
3,1868,3,2,131
2,883,2,1,45
2,900,2,1,110
3,1664,2,3,73.95
3,2026,3,2,132
2,1210,2,1,80.9
4,4111,4,2,250
3,1762,3,3,91.45
3,1252,3,3,55
2,861,2,1,34.5
3,1420,2,1,100
6,1450,6,0,250
3,1490,3,1,78.8
3,1075,2,1,46
3,1425,2,2,94
2,1200,2,1,40
3,1280,2,2,56
2,1084,2,2,50
2,1015,2,2,25.88
2,1017,2,1,51.25
2,1027,2,2,44
2,1069,2,2,45
2,1349,2,1,98.2
2,1005,2,1,50
2,1417,2,3,75
3,1475,3,1,98
2,950,2,2,47
4,2000,4,0,120
3,880,3,1,140
4,1863,3,2,104
2,1010,2,1,29.5
3,1425,2,1,70
3,1450,3,0,100
3,1847,3,2,105
2,1100,2,3,45
1,525,1,1,26
3,1665,3,2,95
4,1664,4,3,65
3,1850,3,3,150
2,1438,2,3,100
3,1560,3,3,115
2,1350,2,1,55.55
3,1550,3,3,67
2,1140,2,2,46.5
5,1200,5,2,180
2,850,2,2,27
2,1280,2,2,75
2,1170,2,2,52
2,1113,2,1,51
2,1385,2,1,83.09
2,1128,2,1,65
2,1200,2,2,128
4,1200,4,3,165
3,2390,3,2,415
4,2400,4,1,400
3,1464,3,2,56
2,1200,2,2,55
2,1200,2,2,52
3,1150,2,1,55
3,1645,3,2,95
2,1000,2,1,67
4,2650,4,2,198
2,1192,2,2,74
3,2135,3,2,215
2,1173,2,1,58
2,1020,2,2,45
4,3122,6,2,230
3,1600,3,3,64
2,1200,2,0,79
2,1230,2,3,48
2,1250,2,2,40
2,1325,2,2,76
3,1850,3,1,150
1,525,,,21.53
2,1200,2,2,65
3,1350,2,0,140
3,1260,3,1,49.36
3,1800,3,0,150
3,11,3,2,74
2,1100,2,1,43.25
2,1508,2,1,77
3,1592,3,2,75
2,1388,2,3,57
1,630,1,1,28.35
3,2000,3,2,365
3,1762,3,1,125
2,950,2,2,50
4,3252,5,3,335
2,1116,2,1,50
2,1308,2,2,89.04
3,1200,3,0,90
4,1500,4,2,230
1,500,1,1,18.5
2,1075,2,1,52
1,530,1,0,11.66
2,1205,2,3,66
2,1075,2,2,60
2,930,2,2,39
2,1380,2,1,60
4,2483,5,2,212
2,1166,2,2,55
2,1050,2,1,65
3,2023.71,3,2,275
2,1200,2,2,46.8
3,1600,2,1,108
3,1935,3,2,110
1,451,1,0,29.9
3,1800,3,2,95
3,1400,3,0,77
3,1801,3,2,115
2,1451,2,,90
2,1200,1,1,36
2,1160,2,2,44
2,1000,2,1,25
2,950,2,1,40
3,1629,3,2,79
3,1580,2,0,134
3,1826,3,2,121
2,1245,2,1,94
2,1145,2,2,45.79
2,825,2,1,33
3,1693,3,3,108
2,1113.27,2,2,53
2,1460,2,1,58
2,1050,2,1,32
2,1260,2,2,55
6,700,3,,120
2,1656,2,1,120
3,1208,3,1,45
3,1910,3,2,161
4,3252,4,1,230
2,1200,2,1,65
4,1200,4,1,175
2,1175,2,1,82
2,1000,2,0,165
4,1200,2,0,125
3,2390,3,2,410
7,12000,6,3,2200
2,550,1,1,62
2,1185,2,,38
2,750,2,1,38
6,1200,7,3,250
3,1550,3,3,64.5
3,1760,3,2,88
2,1125,2,2,62
3,1350,3,2,150
2,1000,2,1,55
2,1090,2,2,31.48
2,1200,2,0,60
3,1991,4,2,103
2,1060,2,1,26.5
2,1105,2,1,75
2,985,2,2,67
6,1533,5,3,85
3,1590,3,2,79
2,1120,2,2,55
2,1069,2,1,55
3,1933,3,2,140
2,1194,2,0,69
2,1150,2,3,69
2,1240,2,2,47.12
2,1419,2,2,48.1
8,1200,8,,250
3,2150,4,,240
3,1450,3,2,55
3,1630,3,2,68.29
2,708,1,1,40
3,1000,4,3,110
4,11890,4,3,700
2,1250,2,1,76
3,1400,2,1,95
3,1670,2,3,57
3,1750,3,2,100
2,1404,2,1,71
3,1715,2,2,95
1,630,1,1,34.65
3,1752.12,3,2,135
3,1650,3,2,78
2,1295,2,1,55.47
3,1800,3,2,252
2,1346,2,1,74.03
4,1200,4,2,200
2,1150,2,2,55
4,3309,4,3,325
3,1190,2,2,30.35
3,1620,3,2,98
2,950,2,1,46.96
11,5000,9,3,360
3,2450,3,0,120
3,1220,2,1,35.23
2,850,2,1,30
2,1020,2,2,63
2,1100,2,2,50
2,1150,2,2,126
3,1760,2,2,130
3,1800,3,3,110
2,1070,2,1,54
4,1500,4,2,220
2,1440,2,0,95
2,900,2,1,40
4,1200,4,1,230
2,1130,2,1,42.16
2,1320,2,1,165
2,1270,2,1,98
2,1200,2,1,62
4,4800,4,,235
2,1200,2,1,74
2,929,2,0,50.17
4,1150,4,2,260
4,1125,4,3,180
5,500,3,2,65
5,1200,5,2,190
3,1464,3,2,56
4,3600,4,3,400
4,2000,4,2,99
2,1208,2,1,49
2,1130,2,2,60
3,1753,3,2,120
5,4500,7,3,337
3,600,3,2,58
2,1196,2,2,94.42
2,1150,3,3,52.5
2,1128,2,1,63
2,1000,2,1,53
2,1035,2,1,45
2,950,2,1,32
3,1075,2,1,36
2,1040,2,1,48.5
2,720,2,1,45
3,1511,3,1,95
3,1300,3,1,58
3,1545,3,1,68.75
1,375,2,0,26
2,1062,2,3,38
2,1115,2,1,40
2,1000,2,1,35
2,883,2,1,45
2,1195,2,1,70
4,1200,3,1,165
1,700,1,0,41
2,1246,2,1,67
4,660,4,2,90
4,8500,4,2,145
4,1600,4,1,80
4,2805,5,3,154
3,1584,3,,65
4,3000,5,1,275
3,1175,2,2,48
3,1595,3,2,115
2,1353,2,2,110
3,1599,3,2,125
2,1150,2,1,70
4,5230,6,1,465
2,1155,2,2,42.74
1,1200,2,0,85
2,1000,2,1,25
4,3000,4,,120
3,1867,3,1,160
2,1251,2,1,47
2,1028,2,1,45.5
2,1222,2,2,45
3,1170,2,1,66
3,2400,4,1,245
3,1385,2,2,48.48
2,1372,2,1,68
3,1282,2,2,49
9,5000,9,3,210
5,3000,3,1,528
2,1135,2,1,39.73
3,1768,3,2,101
3,1325,2,1,90
3,1599,3,2,99
3,1500,3,1,61.95
3,2610,3,0,499
2,1286,2,2,63
5,2845,5,1,140
3,1600,2,,50
2,1195,2,0,63.77
3,3450,5,2,260
2,1102,2,2,53.67
2,1350,2,2,54
3,1200,2,2,42
6,1300,6,0,145
2,1800,1,1,80
2,950,2,1,40
1,525,1,1,27.25
2,656,2,1,25
4,1780,4,3,175
2,1056,2,1,80
1,595,1,1,33.32
2,1080,2,2,50
3,2225,3,1,160
2,1126,2,1,28.15
3,1490,3,1,84
4,2000,4,1,300
3,1550,3,3,100
3,1600,3,2,86
2,1160,2,1,55
4,4144,4,3,315
3,2100,3,2,125
2,1404,2,1,69.3
4,2230,4,3,225
3,1544,3,,120
3,1305,2,1,58.7
2,1230,2,2,80
2,1200,2,0,65
3,1460,3,1,73
,1200,,,34.185
2,967,2,3,45
1,540,1,1,36
1,715,1,2,46
3,2500,3,2,313
3,1578,3,1,180
2,1020,2,1,48.95
2,1020,2,1,40
2,1253,2,1,102
2,1180,2,2,42
2,961,2,2,38
3,1419,3,3,75
3,1709,3,2,150
2,1600,2,0,115
1,416,1,1,18.5
2,1100,2,2,98
3,1430,2,1,65
2,1260,2,2,45
3,1630,3,2,85
3,1249,3,2,44.71
3,1450,2,3,85
3,2791,3,1,223
1,600,1,0,90
1,834,1,1,60
3,1125,4,1,70
3,2060,3,2,140
7,12000,7,3,2200
2,891,2,1,25
2,1133,2,1,49.07
3,1075,2,1,37
4,3000,5,2,260
4,2440,5,2,425
2,1200,2,2,55
2,1075,2,2,45.8
2,1140,2,2,40
5,940,4,2,150
6,2160,5,1,250
2,1090,2,1,42
4,1500,4,1,70
4,4104,4,2,360
3,1790,3,,100
3,1920,3,2,134
2,1374,2,2,95
3,1445,3,2,95
1,711,1,1,36
3,1500,3,3,95
3,1720,3,3,100
3,1400,3,2,60
2,1030,2,2,49
2,1200,2,1,85
3,1375,3,2,70
2,1050,1,,56
3,2250,3,2,160
2,1000,2,2,50
1,469,1,0,25
4,3800,4,3,250
2,883,2,1,29
3,1820,2,3,86
3,1440,2,3,65
6,3600,4,1,160
4,2500,5,2,325
2,1225,2,2,48
3,4000,3,1,660
2,875,2,3,52.8
1,750,1,2,40
2,1180,2,3,80
2,1194,2,2,47
3,1500,2,2,62
2,1160,2,2,52.2
3,2378,3,1,262
2,1128,2,1,60
3,1500,3,1,150
3,1220,2,1,35.23
2,1210,2,2,58
3,1100,2,1,58
3,1200,3,2,46
4,3385,5,,260
3,1641,3,2,66
2,1200,2,1,45
2,1260,2,1,67.39
3,1720,3,3,78
2,1120,2,0,48.13
2,1210,2,1,45.98
4,2200,4,2,200
3,1075,2,1,45
3,1702,3,2,130
2,1630,2,2,200
2,1141,2,2,38.55
3,2072,3,2,108
5,4400,,,375
3,1200,2,0,70
3,1350,3,0,77
4,3090,4,0,445
3,1180,2,2,78.34
3,35000,3,3,130
2,1355,2,2,115
1,600,1,0,50
7,1200,7,,150
3,1640,2,1,120
5,1200,5,0,100
3,1190,2,2,57
4,2400,4,2,375
2,1019,2,2,49.85
3,1875,3,2,165
3,1250,3,2,40
3,1200,3,2,140
2,1140,2,1,56
3,1683,3,1,109
3,1515,3,,83.3
4,2118,4,2,111
4,1380,3,0,58
2,1083,2,2,61.75
2,600,2,1,55
3,2300,3,3,120
2,1240,2,2,60
3,1750,3,1,120
2,1230,2,,43.48
3,1500,3,1,139
2,985,2,1,40.39
3,1500,2,1,87
2,1125,2,1,32.49
2,950,2,1,44
5,4400,,,548.5
3,1580,3,3,76
3,1092,2,1,98.5
2,1090,2,1,28.34
3,2264,3,1,159
3,1033,2,2,25.53
2,810,2,2,24.5
2,1045,2,0,45
2,1337,2,1,82
2,1200,2,2,32
3,1580,3,2,160
3,1500,2,3,54
3,1640,4,2,91
3,1570,3,2,62
3,1470,2,2,82
2,1160,2,2,40.61
2,1050,2,1,71
3,1855,3,1,225
3,1460,2,1,90
3,1823,3,2,100
2,1094,2,2,42
2,1153,2,2,57
3,1325,3,1,57
4,1200,3,2,85
3,1590,2,2,125
5,1210,4,2,160
4,1200,4,0,220
2,1202,2,1,48
2,1202,2,1,53
2,1200,2,3,62.5
3,1688,3,1,118
2,1020,2,1,52
2,1185,2,2,47
2,1235,2,1,52.04
4,3205,5,1,500
2,1077,2,2,37.64
3,1415,2,3,66
3,2330,3,2,162
2,805,2,2,35
1,425,1,0,20.03
2,1155,2,3,59.95
4,5270,4,3,1250
2,656,2,1,22
2,1100,2,0,48
2,1150,2,3,52
1,600,1,1,60
2,1468,2,1,140
4,4300,5,2,550
3,2280,4,2,126
2,1341,2,1,97
2,1279,2,1,77
4,2225,4,0,98.88
2,1185,2,2,43.51
3,1750,3,2,85
2,1152,2,1,53.5
5,1000,4,1,160
2,1300,2,3,36
4,2760,4,2,155
2,1070,2,2,39
2,1101,2,0,45
2,775,2,1,55
1,667,1,1,36.85
2,1070,2,1,55
3,1875,2,2,110
2,735,2,1,57.99
5,4360,4,1,90
3,1750,3,2,130
2,1215,2,1,67
9,600,9,3,190
2,820,2,1,30
2,1160,2,0,59.935
3,1779,3,2,89.61
2,1105,2,2,58
3,1650,3,2,60
2,1694,2,2,150
3,2376,3,1,203
3,1975,3,3,150
2,674,2,1,33
2,1185,2,1,41
1,445,1,0,28
6,900,7,,76
3,1475,3,2,75
3,1618,3,3,82.5
2,1120,2,0,65
4,2181,3,2,152
4,1200,4,0,90
6,600,4,3,65
3,1556,2,1,59.13
2,1179,2,1,66.02
2,1296,2,2,83
2,1275,2,2,52
7,1875,2,2,300
3,1400,2,2,77
2,1222,2,1,63
2,940,2,1,41
2,1185,2,2,42.6
3,1779,3,2,112
3,1615,3,2,59.76
4,4000,,,453
2,1056,2,1,61
2,1100,2,0,46
2,920,2,1,40
3,1602,2,0,75
2,1176,2,0,62
4,675,3,1,59
3,1352,3,0,135
3,1717,3,3,99
4,10961,4,1,80
4,2119,4,3,111
2,1246,2,1,67.3
2,1141,2,1,42.79
2,1157,2,1,84
2,1025,2,2,27.68
1,650,1,2,33
2,1349,2,1,98
3,1566,3,1,83.3
4,2830,3,3,195
3,1320,2,1,38.13
3,1780,3,1,84.83
2,1091,2,1,34.9
4,3670,4,3,300
2,918,2,1,50.49
4,1950,4,0,130
3,1695,3,1,90
3,1705,3,2,95
3,1375,3,2,75
1,525,1,1,30
2,1447,2,1,83
2,1114,2,1,39
3,1450,2,1,100
2,460,1,0,15
2,1022,2,2,40
2,1000,2,2,45
2,1128,2,1,68.75
2,1180,2,2,57
6,1000,6,1,69
2,1200,2,1,150
3,3761,3,2,660
2,1339,2,3,75
3,1400,2,3,55
2,1040,2,1,39.52
2,1198,2,2,58
4,1200,3,,95
3,1691,3,2,113
3,1075,3,2,36
3,1630,3,2,194
3,1240,3,2,43.5
2,1115,2,0,58.935
3,1665,3,2,86.58
3,2489,3,,94
2,1142,2,2,70
3,1976,3,1,184
4,5500,4,,600
3,1853,3,2,82
8,600,4,1,72
2,1567,2,2,92
2,1090,2,1,27.24
6,1200,4,2,125
4,2400,4,1,640
2,1175,2,2,51.47
2,1200,2,2,52
2,995,2,1,41
2,884,2,1,41.1
5,900,3,2,80
2,1170,2,2,57
2,1225,2,1,46.55
2,1342,2,1,73.3
2,1345,2,1,67
3,1320,3,0,65
2,1140,2,1,49.39
2,1300,2,1,50
3,1652,3,2,85
3,2072,4,2,142
3,1740,2,,95
3,1360,2,1,71
3,1145,2,2,60
3,1540,2,0,40
2,1278,2,2,95
1,630,1,1,40
3,1100,3,2,58
3,1200,3,0,95
7,2500,6,2,115
1,520,1,0,15.135
2,1015,2,2,25.88
5,3300,5,2,240
5,4500,5,1,415
3,1356,2,3,66
2,823,2,1,28
3,1200,2,0,66
2,1050,2,0,37
2,1180,2,1,69
2,1116,2,3,51.91
2,1070,2,1,42.79
2,1385,2,3,80
1,1000,1,1,70
3,1897,3,2,130
2,1005,2,1,55.78
3,1575,3,2,125
2,975,2,1,65
3,1904,3,2,120
1,930,1,1,30
1,525,1,1,26
1,686,1,1,17
2,2400,3,1,150
2,1410,1,0,233
3,2238,3,1,140
2,1174,2,1,69
4,3800,4,3,239
3,2225,2,1,125
2,1250,2,0,200
2,918,2,2,52
2,1250,2,3,52
3,1800,3,,110
2,1170,2,3,53
1,1300,1,0,200
2,793,2,1,45
3,1710,3,2,107
3,1082,2,1,57.5
2,1001,2,2,33.03
4,1500,4,,180
3,1590,2,1,54
3,2400,2,0,80
3,1554,3,2,55
2,1000,2,0,43.415
5,4239,5,2,423
2,884,1,0,58
2,1045,2,1,98.89
2,1019,2,2,49.86
3,1935,4,2,130
3,1135,2,2,39.73
3,1680,3,2,150
4,2470,5,2,247
4,2825,4,3,250
3,2480,3,1,330
9,1260,11,,290
5,1800,4,3,187
3,1799,3,3,90
4,3606,,,304
1,400,1,1,11
2,1047,2,1,82
2,1282,2,2,87
2,1020,2,1,45.9
4,1080,3,1,155
2,1495,2,1,79.5
4,3260,4,1,240
3,1611,2,2,64.44
4,3500,5,2,425
3,1500,2,2,95
3,1500,2,2,95
4,3206,5,,270
3,1540,3,0,50
3,1639,3,1,80
4,700,4,,72
2,1303,2,2,55.79
2,1005,1,1,110
1,650,1,0,18.41
3,1305,3,1,33.28
3,600,4,0,95
2,1300,1,1,115
3,1440,2,3,68
2,901,2,1,35.14
3,1725,3,3,200
3,900,2,1,42
2,1060,2,1,55
2,1020,2,1,48.45
3,1535,3,2,65.99
1,530,1,1,20
3,1464,3,2,56
2,1350,2,3,80
2,1115,2,2,50
2,1175,2,2,47
2,1113,2,1,62
6,1200,4,2,225
5,1640,4,3,240
2,650,2,0,42
2,1325,2,2,71.55
2,950,2,3,31
3,1396,2,1,86.51
2,1050,2,2,52.07
3,1825,3,2,100
2,1190,2,1,49.98
2,1220,2,1,56.5
3,1565,2,2,75
3,1891,3,1,109
2,900,2,0,27
2,1161,2,1,55.15
1,633,1,0,17.535
8,2400,6,3,125
4,315,4,2,90
1,665,1,1,36.85
2,1175,2,1,73.5
2,1425,2,2,80
1,1200,1,0,20
3,1200,3,1,56.12
2,1255,2,2,67
3,2112.95,4,2,145
1,600,1,1,22
3,1810,3,2,100
2,1200,2,2,93
2,1033,2,2,49
3,1548,3,2,89.5
3,1611,3,3,66
3,1400,2,1,40.43
3,1485,2,2,67
2,2400,2,1,82
2,1025,2,1,44.5
4,600,3,2,65
2,1225,2,,53
2,1256,2,1,62.8
4,2268,3,2,163
3,1100,3,2,53
2,1141,2,0,62
1,400,1,1,12
2,1400,2,0,60
7,4100,7,,140
1,15,1,0,30
2,1175,2,2,48.27
2,1100,2,1,56
3,1843,3,2,95.84
8,1200,7,2,240
2,1460,2,1,80.5
3,1530,2,2,74.5
2,1467,2,1,55
1,950,1,1,40
2,1246,2,1,64.5
1,711,1,1,38
2,1194,2,2,46
3,1358,2,1,43.4
6,1500,5,1,130
2,1420,2,2,75
3,1250,2,1,68.75
2,1280,2,,58
2,1209,2,1,50
5,4200,5,2,225
4,1215,4,3,205
3,1315,2,1,54.8
3,1800,3,3,90
5,1600,4,0,125
3,1600,2,2,65
6,3968,5,2,900
3,1563,3,2,52
3,1560,2,2,72
3,2169,4,,115
9,900,10,,170
2,1050,2,2,55.5
3,3235,3,1,235
3,1200,3,0,66
2,1140,2,2,46
3,1500,3,1,170
3,1560,3,2,75
2,1100,2,2,70
3,1260,2,3,40.32
2,1036,2,1,50
3,1662,3,3,85.1
3,1464,2,3,105
2,1234,2,2,80
3,1403,3,1,55
4,915,4,1,54.9
6,3000,8,3,451
3,1150,2,2,42.9
4,3900,4,2,410
5,850,4,2,90
2,929,2,1,46
6,2400,8,3,450
3,1350,2,1,75
2,1135,2,1,39.73
2,1405,2,2,70
2,1200,2,1,45.84
4,2805,4,3,154
2,1161,2,2,64.08
2,1290,2,3,74
3,2557,3,2,141
3,1480,3,2,90
9,3300,14,,500
3,1350,3,0,54.54
3,1580,2,2,65
3,1470,2,1,88.64
1,500,1,1,14
2,1346,2,1,61.92
3,1600,3,3,90
2,720,2,1,120
4,1200,4,0,135
2,1200,2,2,35
3,1340,2,2,48.33
4,6136,4,,560
2,918,2,2,48
3,1500,3,2,115
2,1315,2,2,85
4,2400,5,,775
3,1390,2,2,62.55
3,1330,2,1,56
5,3100,4,,265
3,1824,3,3,125
3,1420,2,2,96
1,750,1,0,56.25
3,1260,2,1,60
3,1561,3,2,95
9,812,6,3,165
2,1060,2,2,42
8,1120,8,3,145
2,1225,2,1,67.38
3,2144,3,2,135
7,1200,6,2,140
2,880,2,2,29
3,1639,3,2,110
3,1240,2,1,62
2,1500,2,2,69
2,1243,2,1,46
3,1575,3,,78
2,1027,2,2,44
3,1082,2,1,56
3,1637,3,3,73
3,1665,3,2,86.58
2,1265,2,0,56.93
3,1691,2,2,102
2,1100,2,1,38
5,24,2,2,150
3,1500,3,2,62
4,3205,5,1,380
5,1666,4,1,150
2,1115,2,2,50
2,1070,2,1,45
2,1128,2,2,105
2,1162,2,1,57
2,1339,2,2,55
2,1192,2,2,75
3,1920,3,1,115
2,1255,2,1,52.32
2,1357,2,1,115
3,1600,3,2,75
2,1225,2,2,55.11
4,2400,4,3,200
3,1570,3,3,80
2,1093,2,2,70
3,1865,3,3,145
6,1200,7,3,165
2,1039,2,2,80
2,1246,2,1,64.5
3,1985,3,2,75
3,1590,3,3,49
4,4000,4,2,675
2,775,2,2,38
2,1000,2,1,50
3,1800,3,2,175
2,1035,2,1,41
3,1520,2,1,75
2,1360,2,1,95
4,6000,5,3,400
2,1117,2,2,56
4,1200,4,3,120
2,1330,2,1,92.5
3,1937,3,2,160
2,1128,2,1,65.49
2,1053,2,1,45
2,1198,2,1,77
2,1152,2,1,56
6,1200,6,2,125
2,1625,2,1,75
3,1397,3,3,105
3,1523,3,3,170
2,883,2,1,45
1,700,1,0,38
2,1170,2,1,62.5
3,1200,2,2,42
3,2400,3,2,170
2,1480,2,2,65
3,1897,3,2,120
2,996,2,1,67
3,1875,3,2,110
3,1500,2,2,98
3,3095,3,3,350
3,1390,2,1,175
3,1445,3,0,65.255
1,697,1,0,45
1,710,1,1,27
2,910,2,1,30.5
3,1025,2,1,48
2,884,2,0,46.5
4,1200,4,,244
3,1453,2,1,46.48
4,3335,5,2,300
2,850,2,0,36.435
2,1281,2,1,74
1,565,1,1,35
2,1024,2,2,42
3,1620,3,2,62
2,1254,2,2,40
3,1300,2,2,75
2,1233,2,2,43
1,1200,1,1,28
3,1510,2,1,105
2,950,2,1,65
3,1945,3,2,97.42
2,1008,2,3,45
3,1265,2,1,79
3,1255,2,1,77.68
4,2689,6,2,220
2,1200,2,2,46.17
3,1403,3,3,51.63
3,1535,3,2,85
3,1500,3,3,100
3,1475,2,2,120
3,1390,2,2,60.47
3,1278,2,1,53.76
2,1133,2,2,55
5,1560,5,1,145
5,2900,5,2,90
2,1170,2,1,51.99
3,1200,3,3,200
3,1697,3,2,94.79
3,1651,3,3,97.38
3,1560,3,1,188
3,1192,2,1,60
2,1078,2,3,65
7,800,7,3,105
2,1349,2,2,78
9,2300,8,1,210
3,1680,3,2,120
3,1314,2,2,63
2,1060,2,1,48.7
2,820,2,0,39
4,5000,4,3,400
3,2000,3,2,85
2,856,2,3,40
3,1621,4,0,130
3,1200,3,1,68.4
3,1484,3,2,52.5
4,600,5,2,60
4,14000,3,2,800
1,500,1,1,20
1,485,1,1,15
2,1050,2,1,42
3,1617,3,3,66.68
2,550,1,1,16
3,1384,3,2,62.28
2,1408,2,2,85
2,1150,2,1,49
3,1410,2,2,75
4,2150,4,1,100
3,2292,4,1,275
3,2006,3,,297
3,1508,3,2,70.25
2,1040,2,2,50
